id_master,descripcion_master,tipo_master,diametro_master,largo_master,grado_master,acabado_master,id_proveedor,tipo_proveedor,diametro_proveedor,largo_proveedor,grado_proveedor,acabado_proveedor,precio_unitario,proveedor,descripcion_proveedor,score_atributos,score_descripcion,score_final
AG250N,ARANDELA GROWER 1 NAT,arandela,,,,natural,101.101.1000,arandela,02.5,1.25,,,32.4743,Efepe,ARANDELA ALUMINIO  02.5  X  06.0  X  1.25 (cant.100),100.0,55.17,82.07
AG250N,ARANDELA GROWER 1 NAT,arandela,,,,natural,101.101.1002,arandela,03.0,1.25,,,44.0238,Efepe,ARANDELA ALUMINIO  03.0  X  10.0  X  1.25 (cant.100),100.0,55.17,82.07
AG250N,ARANDELA GROWER 1 NAT,arandela,,,,natural,101.101.1001,arandela,03.5,1.25,,,41.3719,Efepe,ARANDELA ALUMINIO  03.5  X  08.0  X  1.25 (cant.100),100.0,55.17,82.07
AG250N,ARANDELA GROWER 1 NAT,arandela,,,,natural,101.101.1003,arandela,04.0,1.25,,,43.077,Efepe,ARANDELA ALUMINIO  04.0  X  09.0  X  1.25 (cant.100),100.0,55.17,82.07
AG250N,ARANDELA GROWER 1 NAT,arandela,,,,natural,101.101.1004,arandela,05.0,1.25,,,43.077,Efepe,ARANDELA ALUMINIO  05.0  X  09.0  X  1.25 (cant.100),100.0,55.17,82.07
AG250N,ARANDELA GROWER 1 NAT,arandela,,,,natural,101.101.1069,arandela,05.0,1.25,,,51.5978,Efepe,ARANDELA ALUMINIO  05.0  X  12.0  X  1.25 (cant.100),100.0,55.17,82.07
AG250N,ARANDELA GROWER 1 NAT,arandela,,,,natural,101.101.1005,arandela,06.0,1.25,,,41.3719,Efepe,ARANDELA ALUMINIO  06.0  X  08.0  X  1.25 (cant.100),100.0,55.17,82.07
AG250N,ARANDELA GROWER 1 NAT,arandela,,,,natural,101.101.1006,arandela,06.0,1.25,,,53.112,Efepe,ARANDELA ALUMINIO  06.0  X  11.0  X  1.25 (cant.100),100.0,55.17,82.07
AG250N,ARANDELA GROWER 1 NAT,arandela,,,,natural,101.101.1007,arandela,06.5,1.25,,,54.6265,Efepe,ARANDELA ALUMINIO  06.5  X  12.0  X  1.25 (cant.100),100.0,55.17,82.07
AG250N,ARANDELA GROWER 1 NAT,arandela,,,,natural,101.101.1008,arandela,06.5,1.25,,,64.758,Efepe,ARANDELA ALUMINIO  06.5  X  13.0  X  1.25 (cant.100),100.0,55.17,82.07
AG250N,ARANDELA GROWER 1 NAT,arandela,,,,natural,101.101.1009,arandela,06.5,1.25,,,95.9065,Efepe,ARANDELA ALUMINIO  06.5  X  16.0  X  1.25 (cant.100),100.0,55.17,82.07
AG250N,ARANDELA GROWER 1 NAT,arandela,,,,natural,101.101.1010,arandela,06.5,1.25,,,125.1591,Efepe,ARANDELA ALUMINIO  06.5  X  20.0  X  1.25 (cant.100),100.0,55.17,82.07
AG250N,ARANDELA GROWER 1 NAT,arandela,,,,natural,101.101.1011,arandela,07.0,1.25,,,44.0238,Efepe,ARANDELA ALUMINIO  07.0  X  10.0  x  1.25 (cant.100),100.0,55.17,82.07
AG250N,ARANDELA GROWER 1 NAT,arandela,,,,natural,101.101.1012,arandela,07.0,1.25,,,73.7522,Efepe,ARANDELA ALUMINIO  07.0  X  14.0  X  1.25 (cant.100),100.0,55.17,82.07
AG250N,ARANDELA GROWER 1 NAT,arandela,,,,natural,101.101.1013,arandela,08.0,1.25,,,54.6265,Efepe,ARANDELA ALUMINIO  08.0  X  11.0  X  1.25 (cant.100),100.0,55.17,82.07
AG250N,ARANDELA GROWER 1 NAT,arandela,,,,natural,101.101.1014,arandela,08.0,1.25,,,40.2367,Efepe,ARANDELA ALUMINIO  08.0  X  13.0  X  1.25 (cant.100),100.0,55.17,82.07
AG250N,ARANDELA GROWER 1 NAT,arandela,,,,natural,101.101.1015,arandela,08.0,1.25,,,128.0959,Efepe,ARANDELA ALUMINIO  08.0  X  20.0  X  1.25 (cant.100),100.0,55.17,82.07
AG250N,ARANDELA GROWER 1 NAT,arandela,,,,natural,101.101.1064,arandela,08.5,1.25,,,73.7522,Efepe,ARANDELA ALUMINIO  08.5  X  13.5  X  1.25 (cant.100),100.0,55.17,82.07
AG250N,ARANDELA GROWER 1 NAT,arandela,,,,natural,101.101.1016,arandela,09.0,1.25,,,53.112,Efepe,ARANDELA ALUMINIO  09.0  X  13.0  X  1.25 (cant.100),100.0,55.17,82.07
AG250N,ARANDELA GROWER 1 NAT,arandela,,,,natural,101.101.1017,arandela,09.4,1.25,,,95.9065,Efepe,ARANDELA ALUMINIO  09.4  X  18.0  X  1.25 (cant.100),100.0,55.17,82.07
AG250N,ARANDELA GROWER 1 NAT,arandela,,,,natural,101.101.1018,arandela,09.5,1.25,,,73.7522,Efepe,ARANDELA ALUMINIO  09.5  X  14.0  X  1.25 (cant.100),100.0,55.17,82.07
AG250N,ARANDELA GROWER 1 NAT,arandela,,,,natural,101.101.1019,arandela,09.5,2.00,,,132.6389,Efepe,ARANDELA ALUMINIO  09.5  X  14.0  X  2.00 (cant.100),100.0,55.17,82.07
