codigo,tipo,forma,diametro,paso,largo,grado,sistema,sistema_rosca,acabado,descripcion
1,otro,,,,,,otro,,,.
2,otro,,,,,,otro,,,Articulos varios
3,otro,,,,,,otro,,,"Articulos varios al 10,5%"
4,otro,,,,,,otro,,,Servicios
5,otro,,,,,,otro,,,Honorarios
1000,otro,,,,,,otro,,,Saldo inicial
1001,otro,,,,,,otro,,,Comision por cheque rechazado
1002,otro,,,,,,otro,,,Viaticos
1003,otro,,,,,,otro,,,Descuentos
1004,otro,,,,,,otro,,,Generacion automatica de N/D por Rechazo de Cheque
BHG2NC079025Z,bulón,hexagonal,5/16,2,,G2,imperial,UNC,zinc,BULON HEXAGONAL G2 5/16-UNC-1/ ZINC
TUAAG2NC031Z,tuerca,autofrenante,1/8,2,,G2,imperial,UNC,zinc,TUERCA AUTOFR. ALTA G2 1/8-UNC(40) ZINC
TUAAG2NC039Z,tuerca,autofrenante,5/32,2,,G2,imperial,UNC,zinc,TUERCA AUTOFR. ALTA G2 5/32-UNC(32) ZINC
TUAAG2NC047Z,tuerca,autofrenante,3/16,2,,G2,imperial,UNC,zinc,TUERCA AUTOFR. ALTA G2 3/16-UNC(24) ZINC
TUAAG2NC065Z,tuerca,autofrenante,1/4,2,,G2,imperial,UNC,zinc,TUERCA AUTOFR. ALTA G2 1/4-UNC(20) ZINC
TUAAG2NC079Z,tuerca,autofrenante,5/16,2,,G2,imperial,UNC,zinc,TUERCA AUTOFR. ALTA G2 5/16-UNC(18) ZINC
TUAAG2NC095Z,tuerca,autofrenante,3/8,2,,G2,imperial,UNC,zinc,TUERCA AUTOFR. ALTA G2 3/8-UNC(16) ZINC
TUAAG2NC110Z,tuerca,autofrenante,7/16,2,,G2,imperial,UNC,zinc,TUERCA AUTOFR. ALTA G2 7/16-UNC(14) ZINC
TUAAG2NC125Z,tuerca,autofrenante,1/2,2,,G2,imperial,UNC,zinc,TUERCA AUTOFR. ALTA G2 1/2-UNC(13) ZINC
